,age,sex,job,housing,saving_accounts,checking_account,credit_amount,duration,purpose,risk,reference,income,cpf,score_serasa
327,34,female,2,own,rich,,1525,24,car,good,2023-04,,641.617.683-11,348
328,31,male,2,own,little,rich,4473,36,radio/TV,good,2023-01,,913.946.513-68,770
329,28,male,2,own,little,moderate,1068,6,radio/TV,good,2023-02,3511.0,219.196.636-57,659
330,75,male,3,free,little,little,6615,24,car,good,2023-03,,553.826.363-03,763
331,30,female,2,own,moderate,,1864,18,education,bad,2023-04,,535.718.590-57,954
332,24,female,3,own,moderate,moderate,7408,60,car,bad,2023-01,,704.844.421-55,931
333,24,female,1,rent,moderate,,11590,48,car,bad,2023-02,,101.428.127-06,402
334,23,male,2,rent,little,little,4110,24,furniture/equipment,bad,2023-03,,175.968.554-23,345
335,44,male,3,rent,little,little,3384,6,furniture/equipment,bad,2023-04,,613.626.365-33,962
336,23,female,1,own,little,moderate,2101,13,radio/TV,good,2023-01,,540.462.465-53,510
337,24,female,2,rent,,little,1275,15,domestic appliances,bad,2023-02,,745.108.795-63,146
338,28,male,2,own,little,little,4169,24,furniture/equipment,good,2023-03,,593.054.614-25,147
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,good,2023-04,,752.941.778-97,863
340,24,female,2,free,little,moderate,5743,24,education,good,2023-01,,686.094.878-73,710
341,26,female,1,rent,little,little,3599,21,furniture/equipment,good,2023-02,,363.494.642-30,819
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,good,2023-03,,376.772.356-54,488
343,33,male,3,own,little,moderate,4439,18,business,good,2023-04,,232.120.018-95,928
344,37,male,1,own,little,rich,3949,10,car,good,2023-01,,923.699.361-34,935
345,43,female,1,own,little,,1459,15,radio/TV,good,2023-02,,349.811.585-56,639
346,23,male,2,own,little,moderate,882,13,radio/TV,good,2023-03,,118.268.849-71,550
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,good,2023-04,,348.165.628-93,337
348,34,male,1,own,moderate,,1743,6,business,good,2023-01,,613.238.942-33,871
349,32,male,2,free,rich,moderate,1136,9,education,bad,2023-02,,937.669.943-28,640
350,23,female,2,rent,little,,1236,9,domestic appliances,good,2023-03,,303.388.366-40,778
351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad,2023-04,,874.542.294-09,987
352,38,male,3,own,,,3229,18,car,good,2023-01,,832.999.560-78,952
353,28,male,2,rent,little,little,6199,12,radio/TV,bad,2023-02,,710.956.386-37,472
354,46,male,2,free,quite rich,,727,10,education,good,2023-03,,420.532.628-93,945
355,23,male,1,own,little,moderate,1246,24,car,bad,2023-04,,621.344.328-29,150
356,49,male,2,own,,,2331,12,radio/TV,good,2023-01,,240.428.443-67,414
357,26,male,3,own,little,,4463,36,radio/TV,bad,2023-02,,328.815.037-99,989
358,28,male,2,own,little,,776,12,radio/TV,good,2023-03,,166.088.429-29,297
359,23,female,2,rent,little,little,2406,30,furniture/equipment,bad,2023-04,,533.988.466-02,610
360,61,male,2,free,,moderate,1239,18,education,good,2023-01,,863.500.806-53,262
361,37,male,3,own,,rich,3399,12,radio/TV,good,2023-02,2787.0,925.326.671-68,763
362,36,female,2,own,little,rich,2247,12,car,good,2023-03,,922.993.295-79,143
363,21,male,2,rent,little,,1766,6,furniture/equipment,good,2023-04,,367.541.243-18,345
364,25,male,0,own,little,little,2473,18,furniture/equipment,bad,2023-01,,607.028.064-47,623
365,36,male,2,own,little,,1542,12,business,good,2023-02,,140.467.715-18,571
366,27,male,2,own,little,,3850,18,car,good,2023-03,,672.045.059-05,880
367,22,female,2,rent,little,little,3650,18,furniture/equipment,good,2023-04,,374.750.224-55,1
368,42,male,2,own,little,little,3446,36,furniture/equipment,bad,2023-01,,594.863.718-22,896
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,good,2023-02,,341.607.475-07,303
370,36,male,2,own,,,3079,36,car,good,2023-03,,846.261.724-31,253
371,33,male,2,own,little,,6070,18,radio/TV,good,2023-04,,632.128.563-35,651
372,23,female,2,rent,little,,2146,10,furniture/equipment,good,2023-01,,768.828.067-21,452
373,63,male,3,free,,,13756,60,car,good,2023-02,,216.142.203-01,36
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad,2023-03,,520.975.013-20,159
375,37,female,2,rent,little,little,7685,48,business,bad,2023-04,,856.272.358-45,8
376,34,male,2,own,little,,2320,18,radio/TV,good,2023-01,4062.0,661.396.798-00,232
377,36,male,2,free,,,846,7,radio/TV,good,2023-02,,280.790.756-38,98
378,57,male,3,free,little,moderate,14318,36,car,bad,2023-03,,686.710.643-95,658
379,52,female,1,own,moderate,,362,6,car,good,2023-04,,764.854.206-49,815
380,39,male,2,own,,little,2212,20,furniture/equipment,good,2023-01,,958.068.541-08,207
381,38,female,3,free,little,moderate,12976,18,car,bad,2023-02,,761.750.527-22,130
382,25,female,2,rent,,,1283,22,car,good,2023-03,,935.897.340-43,403
383,26,male,2,own,little,rich,1330,12,car,good,2023-04,,547.691.234-77,151
384,26,male,1,own,moderate,,4272,30,business,good,2023-01,,605.772.550-61,53
385,25,female,2,own,little,,2238,18,radio/TV,good,2023-02,,209.541.530-22,119
386,21,female,2,rent,,,1126,18,radio/TV,good,2023-03,,804.931.931-89,672
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,good,2023-04,,433.022.733-98,919
388,27,male,2,own,quite rich,moderate,2326,15,business,good,2023-01,,859.724.486-02,627
389,27,female,2,own,little,,1449,9,business,good,2023-02,,688.748.796-95,586
390,30,male,3,own,little,,1820,18,car,good,2023-03,,182.913.877-45,624
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,good,2023-04,,147.378.941-92,967
392,39,male,3,free,little,little,3249,36,car,good,2023-01,,813.625.985-26,419
393,31,female,2,own,little,little,1957,6,radio/TV,good,2023-02,,674.682.685-68,421
394,31,male,3,own,little,,2406,9,furniture/equipment,good,2023-03,,824.048.276-77,103
395,32,male,2,rent,moderate,moderate,11760,39,education,good,2023-04,,182.430.197-90,851
396,55,female,3,free,little,little,2578,12,furniture/equipment,good,2023-01,,273.249.253-16,253
397,46,male,2,own,little,little,2348,36,furniture/equipment,good,2023-02,,142.147.406-96,226
398,46,male,2,rent,little,moderate,1223,12,car,bad,2023-03,,452.823.956-65,111
399,43,female,1,own,rich,,1516,24,radio/TV,good,2023-04,,144.194.441-93,509
400,39,male,2,own,little,,1473,18,radio/TV,good,2023-01,,877.280.982-50,472
401,28,male,2,own,,moderate,1887,18,business,good,2023-02,,688.881.721-06,98
402,27,male,2,own,little,,8648,24,business,bad,2023-03,,914.733.175-50,152
403,27,male,1,own,little,,802,14,car,good,2023-04,,251.655.846-58,860
404,43,male,2,own,,moderate,2899,18,car,good,2023-01,2884.0,610.878.596-97,913
405,22,male,2,own,little,moderate,2039,24,radio/TV,bad,2023-02,,415.681.804-70,895
406,43,male,2,own,,,2197,24,car,good,2023-03,,152.058.324-95,877
407,27,male,2,own,little,little,1053,15,radio/TV,good,2023-04,,462.080.217-40,337
408,26,male,3,own,quite rich,,3235,24,radio/TV,good,2023-01,1337.0,655.334.124-92,705
409,28,male,2,own,quite rich,rich,939,12,car,bad,2023-02,,954.081.204-65,821
410,20,female,2,own,little,moderate,1967,24,radio/TV,good,2023-03,,321.350.225-19,162
411,35,male,3,own,little,,7253,33,car,good,2023-04,,377.526.500-72,719
412,42,male,3,own,little,,2292,12,business,bad,2023-01,,283.108.255-28,956
413,40,male,1,rent,quite rich,,1597,10,car,good,2023-02,,621.445.840-28,680
414,35,female,2,own,,little,1381,24,car,bad,2023-03,,571.313.378-89,995
415,35,male,2,own,little,,5842,36,car,good,2023-04,,168.080.112-06,160
416,33,male,1,own,little,little,2579,12,car,bad,2023-01,,305.984.443-78,579
417,23,female,2,rent,,little,8471,18,education,good,2023-02,,727.452.298-18,800
418,31,female,3,own,quite rich,,2782,21,car,good,2023-03,,977.793.982-50,397
419,33,female,2,own,,moderate,1042,18,car,bad,2023-04,,505.260.595-16,276
420,20,female,2,rent,rich,,3186,15,car,good,2023-01,,168.802.303-85,815
421,30,male,2,own,,moderate,2028,12,car,good,2023-02,,521.261.494-55,915
422,47,male,1,own,little,moderate,958,12,car,good,2023-03,,740.971.380-14,503
423,34,male,3,own,moderate,,1591,21,furniture/equipment,good,2023-04,,646.318.845-09,895
424,25,female,2,own,,moderate,2762,12,furniture/equipment,bad,2023-01,,744.454.083-79,391
425,21,male,2,rent,little,moderate,2779,18,car,good,2023-02,,592.462.625-30,134
426,29,male,2,own,little,,2743,28,radio/TV,good,2023-03,,420.730.675-73,194
427,46,male,2,own,rich,,1149,18,radio/TV,good,2023-04,,751.592.273-77,400
428,20,male,2,own,little,,1313,9,furniture/equipment,good,2023-01,,360.644.066-90,639
429,55,female,0,free,little,little,1190,18,repairs,bad,2023-02,,640.686.056-02,32
430,74,male,1,own,little,,3448,5,business,good,2023-03,,589.975.516-47,687
431,29,male,3,own,little,moderate,11328,24,vacation/others,bad,2023-04,,720.520.883-18,459
432,36,male,3,free,little,little,1872,6,furniture/equipment,good,2023-01,,570.579.100-37,954
433,33,male,2,own,little,,2058,24,repairs,good,2023-02,,999.567.013-51,882
434,25,male,2,own,little,little,2136,9,furniture/equipment,good,2023-03,,711.576.361-52,469
435,25,male,2,own,,moderate,1484,12,radio/TV,bad,2023-04,,250.394.900-20,374
436,23,male,1,rent,quite rich,,660,6,repairs,good,2023-01,,985.717.545-78,21
437,37,female,2,own,rich,,1287,24,car,good,2023-02,,710.249.100-08,749
438,65,male,0,own,little,little,3394,42,repairs,good,2023-03,,671.853.424-22,669
439,26,female,0,own,little,rich,609,12,business,bad,2023-04,,981.905.768-01,37
440,39,male,3,own,little,,1884,12,car,good,2023-01,,538.728.895-83,229
441,30,female,2,own,little,little,1620,12,furniture/equipment,good,2023-02,,258.498.832-15,364
442,29,male,2,own,little,moderate,2629,20,vacation/others,good,2023-03,,781.577.591-88,562
443,41,male,1,own,little,,719,12,education,bad,2023-04,,380.920.456-07,437
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,bad,2023-01,,928.203.432-10,775
445,41,female,1,rent,,,1244,9,education,good,2023-02,,908.032.384-52,282
446,34,female,2,own,little,little,1842,36,car,bad,2023-03,,352.902.529-16,26
447,35,male,2,own,little,moderate,2576,7,radio/TV,good,2023-04,,905.749.307-10,225
448,55,female,3,own,,rich,1424,12,furniture/equipment,good,2023-01,,428.207.919-30,276
449,61,male,2,own,rich,moderate,1512,15,repairs,bad,2023-02,,120.060.188-25,797
450,30,male,3,own,,,11054,36,car,good,2023-03,,226.133.344-79,608
451,29,female,2,own,little,,518,6,radio/TV,good,2023-04,,490.290.441-10,283
452,34,male,2,own,little,,2759,12,furniture/equipment,good,2023-01,,874.463.729-23,878
453,35,male,3,own,little,,2670,24,car,good,2023-02,,265.039.929-55,959
454,31,male,2,own,little,little,4817,24,car,bad,2023-03,,113.135.871-68,480
455,29,female,3,own,little,,2679,24,car,good,2023-04,,751.812.795-46,452
456,36,male,2,rent,little,little,3905,11,car,good,2023-01,,233.875.943-56,828
457,35,male,2,free,little,little,3386,12,car,bad,2023-02,,422.690.331-59,815
458,27,female,2,own,little,little,343,6,domestic appliances,good,2023-03,,689.275.850-97,658
459,32,male,2,own,little,,4594,18,radio/TV,good,2023-04,,784.419.873-78,515
460,37,male,2,own,little,little,3620,36,furniture/equipment,good,2023-01,,685.614.087-82,546
461,36,male,2,own,little,little,1721,15,car,good,2023-02,,723.275.962-20,191
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good,2023-03,,959.527.893-90,48
463,38,male,2,own,,moderate,754,12,education,good,2023-04,,686.991.815-58,511
464,34,male,2,own,little,,1950,18,business,good,2023-01,,589.341.006-80,16
465,63,male,2,own,little,little,2924,24,car,good,2023-02,,698.679.440-11,171
466,29,female,1,rent,little,little,1659,24,radio/TV,bad,2023-03,,386.268.347-80,219
467,32,male,2,own,,,7238,48,radio/TV,good,2023-04,,961.654.870-09,157
468,26,female,2,own,little,,2764,33,business,good,2023-01,,179.061.847-93,476
469,35,male,1,own,little,,4679,24,car,good,2023-02,,668.908.972-00,45
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,bad,2023-03,,744.970.962-70,372
471,23,female,2,own,little,little,448,6,education,bad,2023-04,,553.950.020-22,517
472,28,male,1,own,little,little,654,9,car,bad,2023-01,,152.492.736-88,98
473,36,male,3,own,,,1238,6,education,good,2023-02,,930.101.590-05,891
474,33,male,2,own,little,moderate,1245,18,radio/TV,bad,2023-03,,874.072.420-46,744
475,26,female,2,rent,little,little,3114,18,furniture/equipment,bad,2023-04,,305.431.815-02,36
476,24,male,2,own,quite rich,,2569,39,car,good,2023-01,,278.983.756-29,279
477,25,male,2,own,little,rich,5152,24,radio/TV,good,2023-02,,263.302.599-41,348
478,39,male,1,own,moderate,moderate,1037,12,business,good,2023-03,,464.178.936-34,496
479,44,male,2,own,little,little,1478,15,furniture/equipment,good,2023-04,,783.052.416-53,301
480,23,female,1,own,little,moderate,3573,12,radio/TV,good,2023-01,,409.599.852-04,180
481,26,male,2,own,little,moderate,1201,24,car,good,2023-02,,323.899.058-62,606
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,good,2023-03,,406.045.335-86,98
483,30,female,2,own,rich,,960,15,furniture/equipment,good,2023-04,,552.550.114-79,699
484,44,male,2,own,quite rich,,1163,12,car,good,2023-01,,152.005.527-70,992
485,47,male,3,own,little,moderate,1209,6,car,bad,2023-02,,252.775.696-42,115
486,52,male,2,own,little,,3077,12,radio/TV,good,2023-03,,986.916.740-32,190
487,62,female,2,free,little,,3757,24,car,good,2023-04,,136.847.763-19,252
488,35,male,1,rent,moderate,,1418,10,car,good,2023-01,,690.967.015-93,980
489,26,male,2,rent,little,,3518,6,car,good,2023-02,,543.461.433-00,927
490,26,male,2,own,little,,1934,12,radio/TV,good,2023-03,,299.868.781-44,982
491,42,female,3,free,little,moderate,8318,27,business,bad,2023-04,,528.222.090-30,160
492,27,female,2,own,moderate,,1237,6,radio/TV,good,2023-01,,205.886.094-20,255
493,38,male,2,own,,moderate,368,6,radio/TV,good,2023-02,,925.988.306-79,322
494,39,male,1,rent,little,little,2122,12,car,good,2023-03,4394.0,793.081.478-53,127
495,20,male,2,own,,little,2996,24,furniture/equipment,bad,2023-04,,245.353.202-25,17
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,bad,2023-01,,895.408.923-25,792
497,40,male,2,own,little,,1585,24,furniture/equipment,good,2023-02,,550.290.226-94,734
498,32,male,1,own,little,moderate,1301,18,radio/TV,good,2023-03,,847.793.898-95,565
499,28,male,2,own,moderate,rich,1323,6,car,good,2023-04,,796.347.065-17,569
500,27,female,2,own,little,little,3123,24,car,bad,2023-01,,522.606.084-00,322
501,42,male,2,free,little,little,5493,36,car,good,2023-02,,313.099.268-59,871
502,49,male,2,own,moderate,rich,1126,9,radio/TV,good,2023-03,2895.0,788.494.941-57,685
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,bad,2023-04,,445.892.853-80,791
504,24,female,2,rent,little,little,1207,24,car,bad,2023-01,,161.730.143-43,625
505,27,male,1,own,,,1309,10,car,bad,2023-02,,395.119.367-00,287
506,36,male,2,own,quite rich,rich,2360,15,car,good,2023-03,,164.623.935-05,942
507,34,male,3,own,moderate,moderate,6850,15,car,bad,2023-04,,848.599.433-76,853
508,28,male,2,own,little,,1413,24,radio/TV,good,2023-01,,189.957.925-74,662
509,45,male,3,own,moderate,,8588,39,car,good,2023-02,,454.840.174-16,961
510,26,male,2,own,little,little,759,12,car,bad,2023-03,,452.924.639-65,638
511,32,male,3,free,little,,4686,36,car,good,2023-04,,162.953.839-63,154
512,26,male,2,rent,little,rich,2687,15,business,good,2023-01,,739.524.176-29,489
513,20,male,2,rent,little,moderate,585,12,radio/TV,good,2023-02,,295.183.838-71,385
514,54,male,2,own,,,2255,24,car,good,2023-03,,239.521.671-26,985
515,37,female,2,own,little,little,609,6,car,good,2023-04,,182.562.815-70,784
516,40,male,1,own,little,little,1361,6,car,good,2023-01,,635.425.944-58,103
517,23,female,2,rent,little,,7127,36,furniture/equipment,bad,2023-02,,666.676.417-05,928
518,43,male,2,own,moderate,little,1203,6,car,good,2023-03,,818.764.494-03,392
519,36,male,2,free,,,700,6,radio/TV,good,2023-04,,983.420.081-18,810
520,44,male,2,free,little,,5507,24,repairs,good,2023-01,,144.786.626-65,245
521,24,female,2,own,little,little,3190,18,radio/TV,bad,2023-02,,621.350.704-32,175
522,53,male,2,free,little,little,7119,48,furniture/equipment,bad,2023-03,,123.250.723-71,38
523,23,female,2,own,moderate,,3488,24,car,good,2023-04,,593.976.957-89,476
524,26,female,1,own,little,moderate,1113,18,radio/TV,good,2023-01,,146.013.251-37,681
525,30,male,2,own,little,moderate,7966,26,car,good,2023-02,,205.801.293-30,758
526,31,female,2,own,moderate,,1532,15,education,good,2023-03,,397.444.968-00,537
527,42,male,1,own,little,,1503,4,radio/TV,good,2023-04,,718.064.040-95,866
528,31,male,2,rent,little,little,2302,36,radio/TV,bad,2023-01,,230.146.681-76,817
529,41,male,1,own,little,little,662,6,car,good,2023-02,,280.179.133-46,920
530,32,male,2,own,little,moderate,2273,36,education,good,2023-03,,726.268.926-61,407
531,28,female,2,rent,moderate,moderate,2631,15,car,bad,2023-04,,410.163.209-06,524
532,41,male,2,rent,little,,1503,12,car,good,2023-01,,309.225.876-20,827
533,26,male,2,own,moderate,,1311,24,radio/TV,good,2023-02,,637.874.083-63,505
534,25,male,2,own,,,3105,24,radio/TV,good,2023-03,,283.919.243-86,902
535,33,male,2,rent,little,rich,2319,21,education,bad,2023-04,1684.0,589.440.001-58,824
536,75,female,3,own,,little,1374,6,car,good,2023-01,,537.578.101-80,35
537,37,female,2,own,little,moderate,3612,18,furniture/equipment,good,2023-02,,454.002.612-72,684
538,42,male,3,free,little,little,7763,48,car,bad,2023-03,,831.420.831-03,19
539,45,female,1,own,little,rich,3049,18,furniture/equipment,good,2023-04,,189.198.479-91,320
540,23,male,2,rent,little,moderate,1534,12,radio/TV,bad,2023-01,,365.299.231-87,775
541,60,male,2,free,little,,2032,24,car,good,2023-02,,600.362.527-94,511
542,31,male,2,own,,little,6350,30,furniture/equipment,bad,2023-03,,772.070.523-83,399
543,34,male,1,own,little,rich,2864,18,furniture/equipment,bad,2023-04,,772.756.961-50,653
544,61,male,1,own,little,,1255,12,car,good,2023-01,,650.167.050-03,971
545,43,male,2,free,little,little,1333,24,car,bad,2023-02,,287.843.081-68,882
546,37,female,2,own,little,,2022,24,car,good,2023-03,,479.106.062-81,470
547,32,male,2,own,little,,1552,24,radio/TV,good,2023-04,,575.916.560-74,142
548,24,female,1,own,little,little,626,12,radio/TV,bad,2023-01,,864.863.399-00,91
549,35,male,2,free,,,8858,48,car,good,2023-02,,523.189.905-49,353
550,23,female,2,own,,,996,12,repairs,good,2023-03,,508.072.136-75,833
551,45,male,1,own,quite rich,,1750,6,radio/TV,good,2023-04,,624.703.384-25,799
552,34,male,2,own,little,little,6999,48,radio/TV,bad,2023-01,,641.135.335-20,726
553,27,male,2,own,moderate,moderate,1995,12,car,good,2023-02,,882.014.266-06,958
554,67,female,3,own,little,moderate,1199,9,education,good,2023-03,,315.143.245-04,853
555,22,male,2,own,little,moderate,1331,12,radio/TV,bad,2023-04,,913.488.251-03,50
556,28,female,2,own,moderate,moderate,2278,18,car,bad,2023-01,,695.509.241-30,664
557,29,female,2,own,,,5003,21,car,bad,2023-02,,585.071.832-04,697
558,27,male,2,own,little,little,3552,24,furniture/equipment,bad,2023-03,,803.016.561-77,574
559,31,male,1,own,little,moderate,1928,18,furniture/equipment,bad,2023-04,,929.254.421-70,189
560,49,male,2,free,,little,2964,24,car,good,2023-01,,202.182.899-95,124
561,24,male,1,rent,little,little,1546,24,radio/TV,bad,2023-02,,865.867.987-01,149
562,29,female,2,own,little,rich,683,6,radio/TV,good,2023-03,,621.844.436-89,313
563,37,male,2,free,,moderate,12389,36,car,bad,2023-04,,855.838.123-20,569
564,37,male,3,own,,moderate,4712,24,business,good,2023-01,,948.129.311-42,341
565,23,female,2,rent,moderate,moderate,1553,24,radio/TV,good,2023-02,,688.087.981-00,304
566,36,male,2,own,little,little,1372,12,car,bad,2023-03,,154.610.032-65,691
567,34,male,2,own,rich,,2578,24,radio/TV,good,2023-04,,726.252.663-41,681
568,41,male,2,own,,moderate,3979,48,radio/TV,good,2023-01,,254.218.466-60,837
569,31,female,2,own,little,little,6758,48,radio/TV,bad,2023-02,4050.0,836.393.337-64,782
570,23,female,1,rent,little,little,3234,24,furniture/equipment,bad,2023-03,,383.239.967-41,53
571,38,male,2,own,little,,5954,30,radio/TV,good,2023-04,,387.429.853-15,443
572,26,female,3,rent,,,5433,24,car,good,2023-01,,578.330.486-74,612
573,22,female,1,own,little,little,806,15,business,good,2023-02,3311.0,655.204.646-42,992
574,27,male,1,own,little,moderate,1082,9,radio/TV,good,2023-03,,514.525.936-04,263
575,24,female,2,own,little,,2788,15,furniture/equipment,good,2023-04,,136.213.515-15,52
576,27,female,2,own,little,moderate,2930,12,radio/TV,good,2023-01,,825.533.928-00,571
577,33,female,2,own,,,1927,24,education,good,2023-02,,289.049.774-79,619
578,27,male,2,own,little,moderate,2820,36,car,bad,2023-03,,109.625.105-13,4
579,27,male,1,own,little,,937,24,education,good,2023-04,,684.419.476-51,102
580,30,male,2,own,little,moderate,1056,18,car,bad,2023-01,,121.654.924-91,195
581,49,male,1,own,little,moderate,3124,12,car,good,2023-02,,495.130.759-66,773
582,26,female,2,rent,little,,1388,9,furniture/equipment,good,2023-03,,348.305.901-65,876
583,33,male,1,rent,little,moderate,2384,36,repairs,bad,2023-04,,213.590.918-15,991
584,52,female,3,free,,,2133,12,car,good,2023-01,,875.647.894-17,883
585,20,female,2,rent,little,little,2039,18,furniture/equipment,bad,2023-02,,770.709.995-85,349
586,36,male,2,rent,little,little,2799,9,car,good,2023-03,,331.319.263-76,46
587,21,male,1,own,little,little,1289,12,furniture/equipment,good,2023-04,,862.050.762-17,866
588,47,male,1,own,little,little,1217,18,domestic appliances,bad,2023-01,,400.904.703-89,822
589,60,male,2,own,little,little,2246,12,furniture/equipment,bad,2023-02,,293.389.141-78,935
590,58,female,1,own,little,little,385,12,radio/TV,good,2023-03,,113.689.493-47,819
591,42,female,2,rent,,moderate,1965,24,car,good,2023-04,,183.027.288-88,655
592,36,female,1,own,rich,,1572,21,business,good,2023-01,,904.825.621-61,268
593,20,female,1,rent,little,moderate,2718,24,car,bad,2023-02,,269.892.699-60,369
594,40,male,3,own,,little,1358,24,vacation/others,bad,2023-03,,285.429.788-11,635
595,32,female,1,own,moderate,moderate,931,6,car,bad,2023-04,2129.0,807.874.257-61,105
596,23,female,2,rent,little,little,1442,24,car,bad,2023-01,,563.614.721-08,669
597,36,male,1,own,little,moderate,4241,24,business,bad,2023-02,,665.770.780-09,658
598,31,male,2,own,little,,2775,18,car,bad,2023-03,,895.848.916-26,656
599,32,male,2,free,little,,3863,24,business,good,2023-04,,494.582.451-76,119
600,45,female,2,own,little,moderate,2329,7,radio/TV,good,2023-01,,391.135.770-26,830
601,30,female,2,own,little,moderate,918,9,furniture/equipment,bad,2023-02,,125.137.138-85,786
602,34,female,1,free,little,moderate,1837,24,education,bad,2023-03,,747.148.950-28,603
603,28,female,3,own,little,,3349,36,furniture/equipment,bad,2023-04,,489.566.551-89,57
604,23,female,2,own,little,rich,1275,10,furniture/equipment,good,2023-01,,496.784.683-10,950
605,22,male,2,own,quite rich,little,2828,24,furniture/equipment,good,2023-02,,801.868.309-39,345
606,74,male,3,own,little,,4526,24,business,good,2023-03,,281.407.402-41,740
607,50,female,2,free,moderate,moderate,2671,36,radio/TV,bad,2023-04,,135.154.340-70,473
608,33,male,2,own,little,,2051,18,radio/TV,good,2023-01,,488.040.380-63,116
609,45,male,2,free,,,1300,15,car,good,2023-02,,135.908.279-47,829
610,22,female,2,own,moderate,little,741,12,domestic appliances,bad,2023-03,,580.780.802-98,790
611,48,female,1,free,moderate,rich,1240,10,car,bad,2023-04,,304.219.070-61,126
612,29,female,2,own,rich,little,3357,21,radio/TV,good,2023-01,,554.968.949-99,392
613,22,female,2,rent,little,little,3632,24,car,good,2023-02,,379.267.346-08,907
614,22,female,2,own,little,,1808,18,furniture/equipment,bad,2023-03,,750.985.494-69,640
615,48,male,3,own,,moderate,12204,48,business,good,2023-04,,911.256.220-32,57
616,27,male,3,free,,moderate,9157,60,radio/TV,good,2023-01,,502.682.909-03,633
617,37,male,2,rent,little,little,3676,6,car,good,2023-02,,629.667.878-99,512
618,21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,bad,2023-03,,431.454.571-28,750
619,49,male,1,own,little,,640,12,car,good,2023-04,,685.366.894-47,801
620,27,male,2,own,little,moderate,3652,21,business,good,2023-01,,646.055.448-01,95
621,32,male,2,own,little,,1530,18,car,bad,2023-02,,147.766.655-90,637
622,38,male,2,own,,,3914,48,business,bad,2023-03,4709.0,889.417.188-48,117
623,22,female,2,rent,little,little,1858,12,furniture/equipment,good,2023-04,,787.502.446-39,559
624,65,male,2,free,little,little,2600,18,radio/TV,bad,2023-01,,790.837.639-86,600
625,35,male,2,own,,,1979,15,radio/TV,good,2023-02,,349.289.913-70,487
626,41,male,2,own,little,rich,2116,6,furniture/equipment,good,2023-03,,140.078.991-50,236
627,29,male,2,own,moderate,moderate,1437,9,car,bad,2023-04,,365.223.751-09,884
628,36,male,2,own,quite rich,,4042,42,furniture/equipment,good,2023-01,,664.576.770-61,896
629,64,male,1,own,,,3832,9,education,good,2023-02,,219.838.595-32,271
630,28,female,2,own,little,little,3660,24,radio/TV,good,2023-03,,525.966.695-01,188
631,44,male,2,own,little,little,1553,18,furniture/equipment,bad,2023-04,,933.025.506-00,998
632,23,male,2,own,,moderate,1444,15,radio/TV,good,2023-01,,750.663.135-08,703
633,19,female,2,rent,little,,1980,9,furniture/equipment,bad,2023-02,,657.557.567-67,446
634,25,female,1,own,little,moderate,1355,24,car,bad,2023-03,,315.053.161-62,580
635,47,male,2,own,little,,1393,12,education,good,2023-04,,776.716.385-79,789
636,28,female,2,own,quite rich,,1376,24,radio/TV,good,2023-01,,976.326.378-69,860
637,21,male,2,own,little,,15653,60,radio/TV,good,2023-02,,361.687.768-77,246
638,34,female,2,own,little,,1493,12,radio/TV,good,2023-03,,336.588.041-06,962
639,26,male,2,own,little,little,4370,42,radio/TV,bad,2023-04,,379.681.325-92,75
640,27,female,0,own,little,little,750,18,education,bad,2023-01,,598.153.702-78,153
641,38,male,1,own,little,moderate,1308,15,repairs,good,2023-02,,593.827.802-38,655
642,40,male,3,own,moderate,,4623,15,education,bad,2023-03,,907.560.090-90,434
643,33,male,2,own,little,,1851,24,radio/TV,good,2023-04,,906.956.097-69,996
644,32,male,3,own,little,little,1880,18,radio/TV,good,2023-01,,552.623.272-73,85
645,27,male,2,rent,,,7980,36,business,bad,2023-02,,637.987.183-77,696
646,32,male,2,own,little,little,4583,30,furniture/equipment,good,2023-03,,245.134.604-31,284
647,26,female,2,own,quite rich,,1386,12,car,bad,2023-04,,266.196.616-10,973
648,38,male,2,free,little,rich,947,24,car,bad,2023-01,,332.901.107-61,219
649,40,male,1,rent,little,little,684,12,education,bad,2023-02,,203.762.851-09,68
650,50,male,3,free,little,little,7476,48,education,good,2023-03,,122.461.013-01,46
651,37,male,1,own,little,moderate,1922,12,furniture/equipment,bad,2023-04,,521.112.041-88,93
652,45,male,2,own,little,little,2303,24,car,bad,2023-01,,147.204.953-54,749
653,42,male,3,own,moderate,moderate,8086,36,car,bad,2023-02,,486.392.377-51,957
654,35,male,2,own,little,,2346,24,car,good,2023-03,,251.661.109-94,452
